Quick Cook Waffle Fries,10 pieces (85 g),180,9g,23g,2g
Quick Cook Steel Cut Oats,1/4 cup dry (40 g),150,2.5g,27g,5g
Quick Cooking Irish Oatmeal,1/2 cup dry (40 g),150,2g,29g,4g
Quick Cooking Whole Grain Brown Rice,1/4 cup uncooked (42 g),150,1.5g,31g,3g
Quick Cook Straight Cut French Fried Potatoes,32 pieces (85 g),190,8g,27g,2g
Quick Cooking Oats,1/2 cup dry (40 g),150,2.5g,27g,5g
Quick Cooking Oatmeal,1/2 cup (40 g),150,3g,27g,5g
Quick Cooking Steel Cut Oats,1/4 cup dry (36 g),140,2.5g,25g,4g
Quick Country Grits,1 cup prepared (37 g),140,0g,29g,3g
Quick Cooking Oats,1/2 cup (40 g),140,2.5g,27g,5g
Quick Cooking Rolled Oats Whole Grain,1/2 cup (45 g),180,3g,31g,6g
Quick Farina Hot Cereal,3 tbsp dry (33 g),120,0g,23g,4g
Quick Grits,1/4 cup uncooked (40 g),140,0.5g,32g,3g
Quick Dissolving Protein Paks - Vanilla,1 pak  (27.5 g),100,1g,2g,20g
Quick Eggs 100% Egg Whites,3 tbsp (46 g),25,0g,0g,5g
Quick Gest-RR Chocolate Madness,1 scoop (30 g),100,1g,3g,20g
Quick Cucumber Kimchi,1/4 cup,8,0.1g,1.9g,0.3g
Quick Eggs,1/4 cup (61 g),30,0g,1g,6g
Quick Dissolving Protein Paks - Chocolate,1 pak (28.5 g),100,1g,3g,20g
Quick Grits,1/4 cup dry (37 g),130,0.5g,29g,3g
Quick Grits,3 tbsp,130,0.5g,29g,3g
Quick Macaroni & Cheese Dinner,1/2 cup (61 g),230,5g,40g,8g
Quick Grits,1/4 cup,140,0.5g,31g,3g
Quick Italian Spinach Pie,1/8 pie,160,7g,6g,16g
Quick Grits,1/2 cup (28 g),100,0g,22g,2g
Quick Grits,1/4 cup (40 g),140,0g,31g,3g
Quick Oatmeal,1/2 cup uncooked (40 g),150,2.5g,27g,5g
Quick Mass Loaded,4 scoops (255 g),1010,14g,161g,60g
Quick Heat Rice,1 cup (140 g),230,3g,45g,4g
Quick Oatmeal,1/2 cup (40 g),160,3g,27g,5g
Quick Oats,1/2 cup dry (40 g),150,2.5g,27g,5g
Quick Oatmeal,1/2 cup (40 g),150,2.5g,27g,5g
Quick Homemade Hummus with Oatcakes,1 serving,435,27g,32g,16g
Quick Oats,1/3 cup (30 g),110,2g,20g,4g
Quick Oats,1/2 cup (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup (40 g),150,2.5g,28g,5g
Quick Oats,1/2 cup dry (39 g),140,2.5g,28g,5g
Quick Oats,1/2 cup (40 g),150,3g,27g,5g
Quick Grits,1/4 cup (46 g),170,0.5g,38g,3g
Quick Oats,1/2 cup dry,150,2.5g,27g,5g
Quick Oats,1/3 cup (30 g),110,2g,20g,4g
Quick Oats,1/2 cup dry (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup dry (40 g),140,2.5g,27g,5g
Quick Oats,1/2 cup dry (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup (39 g),150,2.5g,28g,5g
Quick Oats,1/2 cup (40 g),160,3g,27g,6g
Quick Oats,1/2 cup (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup dry (40 g),150,2.5g,28g,5g
Quick Oats,1/2 cup dry (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup dry,150,2.5g,28g,5g
Quick Oats,1/2 cup dry (40 g),140,2.5g,27g,5g
Quick Oats,1/2 cup dry (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup dry (40 g),150,3g,27g,5g
Quick Oats,1/2 cup (39 g),150,2.5g,27g,5g
Quick Oats,1/2 cup dry (39 g),140,2.5g,26g,5g
Quick Oats,1/2 cup,150,2.5g,28g,5g
Quick Oats,1/3 cup (40 g),150,2.5g,27g,6g
Quick Oats,1/2 cup dry (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup dry  (40 g),140,2.5g,27g,5g
Quick Oats,1/2 cup dry (39 g),140,2.5g,26g,5g
Quick Oats,1/2 cup (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup dry (45 g),170,2.5g,31g,6g
Quick Oats,1/2 cup dry (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup (40 g),150,2.5g,28g,5g
Quick Oats,1/2 cup (40 g),150,3g,27g,5g
Quick Oats,1/2 cup (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup (dry) (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup (40 g),160,3g,27g,5g
Quick Oats 100% Whole Grain Oat Cereal,1/2 cup (39 g),140,2.5g,27g,5g
Quick Oats,1/3 cup (40 g),150,2g,27g,5g
Quick Oats,1/2 cup dry (40 g),150,3g,27g,5g
Quick Oats Oatmeal,1/2 cup (40 g),150,2.5g,27g,5g
Quick Oats,1/2 cup (40 g),150,2.5g,27g,5g
Quick Oats 100% Whole Grain Oats,1/2 cup (40 g),150,2.5g,27g,5g
Quick Oats Instant Oatmeal,1/2 cup (40 g),150,2.5g,27g,5g
Quick Rolled Oats,1/2 cup (40 g),160,3g,26g,6g
Quick Rolled Oats,1/2 cup dry (39 g),140,2.5g,26g,5g
Quick Paella,1 1/2 cups,322,4g,39.3g,30.6g
Quick Oats Plus Oat Bran,1/2 cup (43 g),160,3g,29g,6g
Quick Pearled Barley,1/3 cup uncooked (48 g),170,0.5g,37g,5g
Quick Roasters Cauliflower,1 container (170 g),90,6g,8g,3g
Quick One Minute Oatmeal,1/2 cup (40 g),150,2.5g,28g,5g
Quick One Minute Oatmeal,1/2 cup dry (40 g),150,2.5g,27g,5g
Quick Roasters Red Potatoes,1 container (170 g),210,6g,36g,4g
Quick Roasters Cauliflower & Broccoli,1 container (170 g),100,6g,8g,4g
Quick Whites,3 tbsp (46 g),25,0g,0g,5g
Quick Roasters Halved Brussels Sprouts,1 container (170 g),130,6g,14g,6g
Quick Rolled Oats,1/2 cup dry (40 g),150,3g,27g,5g
Quick Taters Potato Rounds,13 pieces (85 g),180,11g,19g,1g
Quick Rolled Oats,1/2 cup dry (40 g),150,2.5g,27g,5g
Quick Toast,2 1/2 oz (73 g),200,7g,29g,5g
Quick Steak,4 oz (112 g),170,8g,1g,23g
Quick Steel Cut Oats & Chia,1/4 cup dry (40 g),150,4g,25g,6g
Quick Steak (102g),1 piece (102 g),150,8g,1g,21g
Quick Sauteed Greens,1 serving,67,4g,7g,2g
Quiet Moon,1 package (28.3 g),140,10g,9g,6g
Quince,1 serving (140 g),80,0g,21g,1g
QuickMass,4 scoops (255 g),1010,14g,167g,57g
Quinoa,1/4 cup (44 g),160,3g,28g,6g
Quicos,1/3 cup (30 g),140,4.5g,22g,3g
Quinoa,1/4 cup dry (43 g),155,1.3g,30g,5.5g
Quick-Cook Organic Brown Basmati Rice,1/4 cup dry / 1 cup cooked (45 g),160,1g,34g,4g
QuickMass,2 scoops (127.5 g),510,7g,81g,30g
Quinoa,1/4 cup (47 g),170,2g,31g,7g
Quinoa,1/2 cup (83 g),290,5g,47g,12g
Quinoa,1/2 cup (120 g),170,0g,31g,6g
Quinoa,1/2 cup cooked (45 g),170,2.5g,29g,6g
Quinoa,1/4 cup (45 g),170,3g,29g,6g
Quinoa,1/4 cup (45 g),160,2g,30g,5g
Quinoa,1/4 cup dry (45 g),160,3g,28g,6g
Quinoa,1/4 cup dry (45 g),170,2.5g,29g,6g
Quinoa,1/3 cup dry (50 g),190,3g,35g,7g
Quinoa,1/4 cup (47 g),170,1.5g,32g,6g
Quinoa,2 tbsp (49 g),180,3g,34g,5g
Quinoa,1/4 cup dry (45 g),170,2g,31g,7g
Quinoa & Black Bean Infused Tortilla Chips,8 chips (28 g),140,7g,18g,2g
Quinoa,1/2 cup dry (76 g),280,4.5g,49g,10g
Quinoa,1/4 cup dry (45 g),160,2.5g,31g,6g
Quinoa,1 cup (140 g),200,6g,32g,6g
Quinoa,1 serving (45 g),160,2.5g,31g,6g
Quinoa,1/4 cup (45 g),170,2.5g,32g,6g
Quinoa,1/4 cup uncooked (45 g),170,3g,31g,6g
Quinoa,1/4 cup dry (45 g),160,2.5g,31g,6g
Quinoa,1/4 cup (44 g),160,2.5g,28g,6g
Quinoa,1 serving,140,3g,25g,4g
Quinoa,1/4 cup (42g) (42 g),155,2.5g,27g,6g
Quinoa,1/3 (43 g),160,2.5g,30g,6g
Quinoa & Brown Rice Garlic & Herb,1/4 cup (41 g),140,1.5g,30g,5g
Quinoa & Brown Rice,1 cup (140 g),246,4g,48g,6g
Quinoa & Brown Rice Blend,1/4 cup dry (46 g),170,1.5g,34g,5g
Quinoa & Brown Rice - Regular,1 serving,80,1g,14g,2g
Quinoa & Brown Rice - Large,1 serving,210,2.5g,39g,6g
Quinoa,1 serving,84,2.8g,14g,3g
Quinoa,1 serving,100,2g,18g,4g
Quinoa & Brown Rice,3/4 cup (120 g),100,2g,20g,3g
"Craft Your Own Pizza, Tavern Thin, Individual, 2 or More Toppings with Ricotta Cheese (9 Pieces)",1 serving,589,25g,55g,38g
"Craft Your Own Pizza, Tavern Thin, Individual, 2 or More Toppings with Roma Tomatoes (9 Pieces)",1 serving,534,22g,55g,33g
"Craft Your Own Pizza, Tavern Thin, Individual, 2 or More Toppings with Spinach (1 Piece)",1 serving,59,2g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Individual, 2 or More Toppings with Seasoned Ground Beef (1 Piece)",1 serving,66,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Individual, 2 or More Toppings with Sun Dried Tomatoes (1 Piece)",1 serving,59,2g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Individual, 2 or More Toppings with Spinach (9 Pieces)",1 serving,529,22g,54g,33g
"Craft Your Own Pizza, Tavern Thin, Individual, 2 or More Toppings with Sun Dried Tomatoes (9 Pieces)",1 serving,533,21g,55g,33g
"Craft Your Own Pizza, Tavern Thin, Individual, 2 or More Toppings with Seasoned Ground Beef (9 Pieces)",1 serving,596,26g,54g,39g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping (1 Piece)",1 serving,63,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Andouille Sausage (1 Piece)",1 serving,96,6g,6g,5g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Black Olives (1 Piece)",1 serving,68,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Artichoke Hearts (1 Piece)",1 serving,66,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping (25 Pieces)",1 serving,1579,72g,147g,94g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Artichoke Hearts (25 Pieces)",1 serving,1649,72g,159g,98g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Boneless Wings (1 Piece)",1 serving,94,4g,8g,6g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Andouille Sausage (25 Pieces)",1 serving,2396,144g,152g,129g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Bleu Cheese (1 Piece)",1 serving,75,4g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Broccoli (1 Piece)",1 serving,65,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Boneless Wings (25 Pieces)",1 serving,2338,104g,210g,141g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Bleu Cheese (25 Pieces)",1 serving,1879,96g,147g,112g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Black Olives (25 Pieces)",1 serving,1700,82g,151g,94g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Broccoli (25 Pieces)",1 serving,1616,72g,153g,97g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Canadian Bacon (1 Piece)",1 serving,75,3g,6g,6g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Extra Mozzarella Cheese (1 Piece)",1 serving,70,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Cheddar Cheese (1 Piece)",1 serving,76,4g,6g,5g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Cheddar Cheese (25 Pieces)",1 serving,1899,100g,147g,114g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Fresh Basil (1 Piece)",1 serving,63,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Canadian Bacon (25 Pieces)",1 serving,1885,83g,147g,142g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Fresh Mozzarella Cheese (1 Piece)",1 serving,103,6g,6g,7g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Extra Mozzarella Cheese (25 Pieces)",1 serving,1739,84g,147g,108g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Green Onions (1 Piece)",1 serving,64,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Green Olives (1 Piece)",1 serving,70,4g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Fresh Basil (25 Pieces)",1 serving,1580,72g,147g,94g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Fresh Mozzarella Cheese (25 Pieces)",1 serving,2579,147g,147g,169g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Green Peppers (1 Piece)",1 serving,64,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Green Olives (25 Pieces)",1 serving,1749,89g,147g,94g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Grilled Applewood-Spiced Chicken (1 Piece)",1 serving,79,3g,6g,6g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Green Onions (25 Pieces)",1 serving,1598,72g,151g,95g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Italian Sausage (1 Piece)",1 serving,87,5g,6g,5g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Grilled Applewood-Spiced Chicken (25 Pieces)",1 serving,1979,82g,153g,160g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Green Peppers (25 Pieces)",1 serving,1596,72g,151g,95g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Jalapenos (1 Piece)",1 serving,64,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Parmesan Cheese (1 Piece)",1 serving,75,4g,6g,5g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Mushrooms (1 Piece)",1 serving,64,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Italian Sausage (25 Pieces)",1 serving,2179,120g,155g,132g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Pepper Jack Cheese (1 Piece)",1 serving,72,4g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Jalapenos (25 Pieces)",1 serving,1606,72g,153g,94g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Mushrooms (25 Pieces)",1 serving,1609,72g,151g,97g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Pepperoncini (1 Piece)",1 serving,64,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Parmesan Cheese (25 Pieces)",1 serving,1879,93g,150g,121g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Pepperoni (1 Piece)",1 serving,84,5g,6g,5g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Peppered Bacon (25 Pieces)",1 serving,2123,115g,157g,126g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Pepper Jack Cheese (25 Pieces)",1 serving,1799,90g,147g,108g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Red Onions (1 Piece)",1 serving,65,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Pineapple (1 Piece)",1 serving,70,3g,7g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Red Peppers (1 Piece)",1 serving,65,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Pepperoni (25 Pieces)",1 serving,2104,117g,151g,120g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Peppered Bacon (1 Piece)",1 serving,85,5g,6g,5g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Pineapple (25 Pieces)",1 serving,1739,72g,185g,94g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Red Onions (25 Pieces)",1 serving,1615,72g,155g,95g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Pepperoncini (25 Pieces)",1 serving,1599,72g,151g,94g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Roasted Garlic (1 Piece)",1 serving,64,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Ricotta Cheese (1 Piece)",1 serving,73,3g,6g,5g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Roma Tomatoes (1 Piece)",1 serving,65,3g,6g,4g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Red Peppers (25 Pieces)",1 serving,1613,72g,154g,95g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Ricotta Cheese (25 Pieces)",1 serving,1834,87g,156g,115g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Roasted Garlic (25 Pieces)",1 serving,1600,72g,151g,95g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Seasoned Ground Beef (1 Piece)",1 serving,74,4g,6g,5g
"Craft Your Own Pizza, Tavern Thin, Large, 1 or More Topping with Spinach (1 Piece)",1 serving,64,3g,6g,4g
Chicken Breast Patty (Bourbon St. Burger),1 serving,190,2.5g,0g,40g
Chicken Breast Patty (Quesadilla Burger),1 serving,190,2.5g,1g,41g
Chicken Breast Satays,2 satays (56 g),60,1.5g,1g,11g
Chicken Breast Sandwich Slices,1 slice (85 g),80,2g,1g,15g
Chicken Breast Sandwich Steaks,1 steak (56 g),150,12g,0g,6g
Chicken Breast Sandwich,1 sandwich,454,11g,49g,38g
Chicken Breast Sandwich Steaks,1.5 oz (42.5 g),40,0.5g,1g,8g
Chicken Breast Skewers,1 skewer,100,1g,1g,22g
Chicken Breast Skewers,3 oz (84 g),90,2g,1g,16g
Chicken Breast Skewers,1 skewer (113 g),130,1.5g,7g,23g
Chicken Breast Signature Sandwich,1 serving,550,15g,38g,54g
Chicken Breast Skewers,2 skewers (100 g),130,3g,3g,21g
Chicken Breast Stips,3 strips (77 g),130,3g,14g,13g
Chicken Breast Strips,2 strips (92 g),130,3.5g,11g,15g
Chicken Breast Strip Fritters,2 pieces (103 g),240,13g,18g,12g
Chicken Breast Strips,4 oz (112 g),230,9g,21g,15g
Chicken Breast Spicy Strips (85g),2 pieces (85 g),170,6g,10g,17g
Chicken Breast Strip,1 serving,145,8g,7g,10g
Chicken Breast Slices,4 oz (112 g),110,1g,0g,26g
Chicken Breast Strips,2 oz (56 g),70,2.5g,5g,8g
Chicken Breast Souvlaki,1 kabob (80 g),90,2g,1g,16g
Chicken Breast Strips,2 pieces (85 g),170,3.5g,13g,21g
Chicken Breast Strips,3 oz (84 g),160,6g,14g,14g
Chicken Breast Strips,2 pieces (74 g),170,10g,11g,9g
Chicken Breast Strips,3 oz (84 g),90,1g,2g,16g
Chicken Breast Strips,1 serving (3.5 oz),120,3g,5g,29g
Chicken Breast Spicy Strips (93g),2 pieces (93 g),170,6g,11g,17g
Chicken Breast Strips,3 oz (85 g),90,1.5g,1g,18g
Chicken Breast Strips White Meat,2 strips (85 g),200,11g,15g,11g
Chicken Breast Strips,4 oz (112 g),130,3g,0g,25g
Chicken Breast Strips,1 serving,100,0g,0g,11g
Chicken Breast Stuffed with Spinach & Feta,1 package (369 g),300,8g,20g,31g
Chicken Breast Stuffed with Broccoli & Cheddar,1 tray (397 g),400,11g,39g,36g
Chicken Breast Stuffed with Brown & Wild Rice,1 tray (397 g),330,5g,35g,34g
"Chicken Breast Stuffed with Spinach, Served with Pomodoro Sauce",1 package (425 g),480,12g,50g,43g
Chicken Breast Stuffed with Basil Pesto,1 breast (198 g),320,16g,2g,42g
"Chicken Breast Strips, Grilled",3 oz (85 g),120,2.5g,4g,19g
"Chicken Breast Stuffed with Spinach, Served with Wild Mushroom Sauce",1 tray (397 oz),420,13g,31g,46g
Chicken Breast Tenderloins,4 oz (112 g),110,1g,0g,24g
Chicken Breast Stuffed with Spinach & Feta,1 breast (257 g),400,18g,4g,50g
Chicken Breast Strips,3 strips  (84 g),240,15g,16g,11g
Chicken Breast Tender Fritters,2 tenders (135 g),250,9g,23g,20g
Chicken Breast Sub - Large,1 serving,1130,55g,94g,71g
Chicken Breast Tenderloins,1 serving (4 oz),110,0.5g,0g,26g
Chicken Breast Sub - Medium,1 serving,740,36g,57g,46g
Chicken Breast Sub - Small,1 serving,370,18g,29g,23g
Chicken Breast Strips,3 oz (84 g),100,2.5g,1g,19g
Chicken Breast Tenderloins,4 oz (112 g),110,0.5g,0g,26g
Chicken Breast Tenderloins,4 oz (112 g),90,0.5g,0g,21g
Chicken Breast Tenderloins,4 oz (112 g),100,0.5g,0g,22g
Chicken Breast Tenderloins,4 oz (112 g),120,1g,0g,28g
Chicken Breast Tenderloins,2 tenderloins (120 g),110,1.5g,0g,25g
Chicken Breast Tenderloins,4 oz (112 g),110,1g,0g,25g
Chicken Breast Tenderloins,4 oz (112 g),110,0.5g,0g,26g
Chicken Breast Tenderloins,4 oz (112 g),110,0.5g,0g,26g
Chicken Breast Tenderloins,1 serving (4 oz),90,0.5g,0g,21g
Chicken Breast Tenderloins,1 serving (4 oz),120,1.5g,0g,26g
Chicken Breast Tenderloins,4 oz (112 g),120,1g,0g,25g
Chicken Breast Tenderloins,1 serving (4 oz),110,0.5g,0g,26g
Chicken Breast Tenderloins,4 oz raw (112 g),110,0.5g,0g,26g
Chicken Breast Tenderloins,1 serving (4 oz),110,0g,0g,26g
Chicken Breast Tenderloins,4 oz (112 g),110,0.5g,0g,26g
Chicken Breast Tenderloins,4 oz (112 g),110,0.5g,0g,26g
Chicken Breast Tenderloins,4 oz (112 g),120,1.5g,0g,26g
Chicken Breast Tenderloins,1 serving (4 oz),100,0.5g,0g,25g
Chicken Breast Tenderloins,3 oz cooked (85.04 g),110,0.5g,0g,26g
Chicken Breast Tenderloins,4 oz (112 g),110,1g,0g,26g
Chicken Breast Tenderloins Fritter Style,4 oz (112 g),230,8g,24g,15g
Chicken Breast Tenderloins Fritter Style,4 oz (112 g),240,8g,23g,16g
Chicken Breast Tenderloins,4 oz (112 g),110,0g,0g,26g
Chicken Breast Tenderloins,4 oz (112 g),100,0.5g,0g,23g
Chicken Breast Tenders,4 oz (112 g),270,11g,27g,17g
Chicken Breast Tenders,2 pieces (78 g),210,13g,9g,13g
Chicken Breast Tenders,5 tenders (85 g),200,10g,13g,12g
Chicken Breast Tenders,5 pieces (85 g),130,4g,2g,20g
Chicken Breast Tenders,5 tenders (85 g),190,10g,13g,11g
Chicken Breast Tenders,4 oz (112 g),100,0.5g,0g,20g
Chicken Breast Tenders,5 tenders (84 g),200,11g,11g,13g
Chicken Breast Tenders,3 tenders (85 g),180,10g,14g,10g
Chicken Breast Tenders,1 serving (4 oz),110,1g,0g,25g
Chicken Breast Tenders,5 pieces (85 g),190,10g,12g,12g
Chicken Breast Tenders,3 pieces (128 g),130,1.5g,0g,27g
Chicken Breast Tenders,4 oz (112 g),110,1g,0g,24g
Chicken Breast Tenders,2 tenders (84 g),170,6g,17g,13g
Chicken Breast Tenders,4 oz (112 g),110,1g,0g,25g
Chicken Breast Tenders,4 oz (112 g),120,1.5g,0g,27g
Chicken Breast Tenders,2 pieces (78 g),180,9g,15g,10g
Chicken Breast Tenders,4 oz (112 g),110,1.5g,0g,25g
Chicken Breast Tenders,4 oz (112 g),110,1.5g,0g,25g
Chicken Breast Tenders,4 oz (112 g),110,0g,0g,26g
Chicken Breast Tenders,4 oz (112 g),100,0.5g,1g,23g
Chicken Breast Tenders,4 oz (112 g),130,3g,0g,24g
Chicken Breast Tenders,3 tenders (86 g),170,5g,19g,11g
Chicken Breast with Broccoli & Cheese,1 container (170 g),270,15g,19g,16g
Chicken Breast with Cordon Bleu Stuffing,1 package  (297 g),430,20g,17g,58g
Chicken Breast Teriyaki (Regular),1 bowl  (6 g),336,6g,18g,53g
Chicken Breast with Curry Vegetables,1 container,430,14g,39g,38g
Chicken Breast with Broccoli & Cheese (142g),1 patty (142 g),190,6g,19g,18g
Chicken Breast with Cilantro Butter,1 serving (441 g),520,25g,29g,42g
Chicken Breast with Dijonnaise Sauce,1 packet (238 g),270,12g,11g,30g
Chicken Breast with Garlic Lemon Pepper Sauce,4 oz (112 g),140,4g,2g,22g
Chicken Breast with Ginger Soy Sauce & Spicy Sesame Noodles,1 tray (383 g),550,12g,62g,48g
Chicken Breast with Pico De Gallo,1 serving (354 g),370,18g,14g,38g
Chicken Breast with Herb Roasted Sweet Potatoes,1 package (369 g),400,16g,25g,40g
Chicken Breast with Herb Roasted Sweet Potatoes,1 serving (369 g),400,16g,25g,40g
Chicken Breast Tenders,4 oz (113 g),110,0g,1g,26g
Chicken Breast w/ Wing Attached,1 serving,310,17g,1g,30g
Chicken Breast with Rib Meat,2 oz (56 g),60,3g,1g,9g
Chicken Breast with Rib Meat,2 oz (56 g),45,1g,0g,9g
Chicken Breast with Rib Meat in Water,5 oz (142 g),110,2.5g,0g,22g
Chicken Breast with Rib Meat,4 oz (112 g),140,4g,0g,25g
Chicken Breast with Rib Meat,4 oz (112 g),110,2.5g,0g,22g
Chicken Breasts,1 chicken breast,100,0.5g,1g,22g
Chicken Breast with Rib Meat Pot Pie,1 piece (140 g),230,9g,18g,19g
Chicken Breast Wrap,1 sandwich,573,17g,63g,40g
"Chicken Breast, One Meat",1 Serving,170,3g,5g,30g
"Chicken Breast, Black Beans & White Rice",1 serving (13.5 oz),530,11g,79g,41g
"Chicken Breast, Mac & Cheese",1 serving (11.9 oz),530,28g,34g,45g
Chicken Breast with Rotisserie Style Seasonings,2 oz (56 g),60,2g,3g,9g
Chicken Broccoli Alfredo,1 meal,300,7g,39g,20g
Chicken Broccoli & Cheese,1 package,260,10g,20g,21g
Chicken Breasts,1 breast (5 oz),140,2g,0g,31g
Chicken Broccoli,1 cup (60 g),180,1g,40g,6g
Chicken Breasts,1 filet (136 g),140,1.5g,0g,29g
Chicken Broccoli & Rice,1 package  (215 g),220,8g,21g,18g
"Chicken Breast, Mashed Potato, Gravy & Corn",1 serving (14 oz),490,21g,49g,36g
Chicken Breast with Rib Meat in Water,2 oz (56 g),45,1g,0g,9g
Chicken Broccoli Cheese & Potato,1 cup (245 g),200,10g,20g,7g
Chicken Broccoli Cheddar Stromboli,1 package (170 g),360,11g,45g,20g
Chicken Broccoli Braid,1 serving,360,24g,19g,16g
Chicken Broccoli and Rice Casserole,1 cup (227 g),250,9g,23g,19g
Chicken Broccoli Cheddar Bake,1 cup,390,21g,31g,18g
Chicken Broccoli Penne Bake,1 serving (21.3 oz),950,44g,74g,55g
Chicken Broccoli Cheddar Bake,1 cup,390,22g,26g,20g
Chicken Broccoli Pot Pie,1 pie,380,23g,34g,10g
