Name,Serving,Calories,Fat,Carbs,Proteins
O'doul’S (16 oz),1 serving (16 oz),90,0g,18g,0g
Off The Block Cheddar Jack,1/4 cup (28 g),110,9g,2g,7g
Off The Block Parmesan,1/4 cup (28 g),110,7g,1g,10g
O'doul's Amber Bottle 12 oz,1 serving (12 oz),90,0g,18g,2g
Off The Block Mozzarella,1/4 cup (28 g),90,5g,2g,7g
off Bone Ham,2 slices (56 g),70,2.5g,1g,10g
Off The Block Sharp Cheddar,1/4 cup (28 g),110,9g,1g,7g
Off The Bone Honey Ham,2 oz (56 g),80,4.5g,1g,9g
O'doul's Bottle 12 oz,1 serving (12 oz),70,0g,13g,1g
Off The Bone Oven Roasted Turkey Breast,2 oz (56 g),80,2g,6g,9g
Off The Bone Brown Sugar Ham,2 oz (56 g),100,4.5g,5g,9g
Off The Bone Ham,1 serving (2 oz),70,3g,1g,10g
Off The Bone Hickory Smoked Turkey Breast,2 oz (56 g),60,0.5g,1g,12g
Off The Bone Black Forest Ham,3 slices (59 g),70,2.5g,1g,10g
Off The Bone Smokehouse Ham,3 slices (59 g),70,2.5g,1g,10g
Off the Bone Smoked Ham,2 oz,80,3g,2g,10g
Oh Fudge! with Whipped Topping - 12 oz,1 serving (386 ml),870,50g,91g,13g
Off The Bone Turkey Breast,2 ounces (57 g),50,1g,0g,11g
off The Clock Seasonal Cocktails,1 serving,280,3.5g,37g,0g
Oh Henry! (Mini),1 bar (15 g),70,4g,9g,0g
Oh Henry! Peanut Butter,1 bar (60 g),310,20g,31g,7g
Oh La La Chocolate Truffle,1 bar (63 g),120,4g,17g,3g
Oh Fudge! with Whipped Topping - 20 oz,1 serving (615 ml),1380,77g,150g,21g
Oh Fudge! without Whipped Topping - 12 oz,1 serving (344 ml),730,40g,80g,12g
Oh Fudge! without Whipped Topping - 20 oz,1 serving (573 ml),1240,67g,139g,20g
Oh Henry!,1 bar (62.5 g),280,16g,34g,5g
Oh Yes,1 cake,140,8g,15g,2g
Ohana Kiwi Strawberry,8 fl oz (240 ml),120,0g,30g,0g
Oh Yeah! Yeast Rolls,1 serving (63 g),180,3.5g,31g,5g
Ohio's Best - Large Original Pan Slice,1 serving,400,21g,38g,16g
Off The Bone Oven Roasted Turkey Breast,2 oz (56 g),60,1g,1g,11g
Ohio's Best - Large Hand Tossed Slice,1 serving,340,15g,36g,15g
Oh Henry!,1 bar (1.8 oz),230,11g,33g,3g
Oh Oh Cookie Dough Protein Bar,1 bar (50 g),190,9g,23g,12g
Ohio's Best - Personal Pan Pizza Slice,1 serving,170,8g,18g,7g
Ohio's Best - Large Original Stuffed Crust Slice,1 serving,370,18g,37g,16g
Ohio's Best - Medium Thin 'N Crispy Slice,1 serving,230,11g,24g,10g
Oi Ocha,16.9 fl oz (500 ml),0,0g,0g,0g
Oikos Chocolate Covered Strawberry,1 container (141 g),170,4.5g,21g,11g
Oikos Crunch Coconut Chocolate Crumble,1 container (141 g),170,3g,25g,11g
Oh-Mega Bar,1 bar (34 g),150,8g,18g,5g
Ohio's Best - Medium Hand Tossed Slice,1 serving,250,11g,27g,11g
Ohne Gleichen,3 cookies (31 g),180,11g,16g,2g
Ohio's Best - Small Hand Tossed Slice,1 serving,150,6g,17g,6g
Ohio's Best - Rectangle Slice,1 serving,280,13g,30g,11g
Oikos Fruit on The Bottom Nonfat Greek Yogurt - Peach,1 container (150 g),100,0g,13g,13g
Oikos Fruit on The Bottom Nonfat Greek Yogurt - Black Cherry,1 container (5.3 oz),120,2g,16g,11g
Ohio's Best - Medium Original Pan Slice,1 serving,280,13g,29g,11g
Oikos Fruit on The Bottom Nonfat Greek Yogurt - Apricot Mango,1 container (150 g),130,0g,22g,12g
Ohio's Best - Small Thin 'N Crispy Slice,1 serving,130,6g,14g,6g
Oikos Fruit on The Bottom Nonfat Greek Yogurt - Pineapple,1 container (150 g),120,0g,19g,12g
Oikos Fruit on The Bottom Nonfat Greek Yogurt - Blackberry,1 container (150 g),130,0g,20g,12g
Ohio's Best - Large Thin 'N Crispy Slice,1 serving,320,16g,31g,14g
Oikos Fruit on The Bottom Nonfat Greek Yogurt - Blueberry,1 container (150 g),100,0g,13g,13g
Oikos Fruit on The Bottom Nonfat Greek Yogurt - Strawberry,1 container  (150 g),110,0g,15g,12g
Oikos Fruit on The Bottom Nonfat Greek Yogurt - Strawberry Banana,1 container (150 g),130,0g,20g,12g
Oikos Greek Frozen Yogurt - Key Lime,1/2 cup (89 g),150,3g,25g,6g
Oikos Greek Frozen Yogurt - Salted Caramel,1/2 cup (86 g),160,3g,28g,6g
Oikos Greek Frozen Yogurt - Blueberry,1 container (150 g),110,0g,16g,12g
Oikos Greek Nonfat Yogurt - Vanilla (Container),1 container (150 g),100,0g,12g,14g
Oikos Greek Nonfat Yogurt - Vanilla,1 cup (225 g),190,0g,29g,17g
Oikos Greek Nonfat Yogurt - Pomegranate,1 container (5.3 oz),130,0g,21g,12g
Oikos Greek Frozen Yogurt - Strawberry,1/2 cup (89 g),140,2.5g,25g,20g
Oikos Greek Nonfat Yogurt - Plain,3/4 cup (170 g),100,0g,7g,18g
Oikos Greek Nonfat Yogurt - Black Cherry,1 container (150 g),110,0g,15g,12g
Oikos Greek Nonfat Yogurt - Plain (170g),3/4 cup (170 g),100,0g,7g,18g
Oikos Organic 0% Fat Greek Yogurt with Blueberry,1 container (5.3 oz),120,0g,17g,12g
Oikos Organic Greek Yogurt Chocolate,1 container (113 g),140,0g,23g,13g
Oikos Organic 0% Fat Greek Yogurt with Strawberry,1 container (4 oz),90,0g,12g,15g
Oikos Organic 0% Fat Greek Yogurt with Chocolate,1 container (113 g),110,0g,17g,10g
Oikos Loaded with Real Strawberry,1 container (150 g),100,0g,13g,13g
Oikos Greek Nonfat Yogurt - Plain (Container),1 container (150 g),90,0g,6g,16g
Oikos Organic Greek Yogurt Blueberry,1 container (113 g),90,2g,13g,5g
Oikos Greek Nonfat Yogurt - Honey,1 container (150 g),130,0g,21g,12g
Oikos Organic Greek Yogurt with Honey,1 container (113 g),80,0g,10g,9g
Oikos Organic Nonfat Plain Greek Yogurt (4 oz),1 container (113 g),70,0g,5g,12g
Oikos Organic Greek Yogurt with Super Fruits,1 container (150 g),120,0g,19g,12g
Oikos Organic Nonfat Strawberry Greek Yogurt,1 container (5.3 oz),110,0g,17g,10g
Oikos Organic Vanilla Greek Yogurt (99 g),1 container (99 g),100,3.5g,12g,5g
Oikos Organic Nonfat Vanilla Greek Yogurt (4 oz),1 container (113 g),80,0g,9g,11g
Oikos Organic Nonfat Vanilla Greek Yogurt,1 cup (227 g),160,0g,18g,22g
Oikos Organic Plain Greek Yogurt,1 cup (227 g),130,0g,9g,23g
Oikos Organic Pomegranate Berry Yogurt,1 container (8 oz),150,2g,25g,9g
Oikos Organic Vanilla Greek Yogurt (170 g),3/4 cup (170 g),120,0g,14g,16g
Oikos Pro Mango Pineapple,1 bottle (207 ml),140,1.5g,8g,23g
Oikos Pro Peach,1 cup (150 g),140,1.5g,8g,23g
Oikos Pro Strawberry,1 cup (150 g),140,3g,8g,20g
Oikos Pro Plain,1 serving (170 g),100,0g,8g,17g
Oikos Organic Greek Yogurt Peach Mango,1 container (150 g),130,0g,19g,13g
Oikos Pro Vanilla (150g),1 cup (150 g),140,3g,8g,23g
Oikos Pro Vanilla,3/4 cup (170 g),140,3g,8g,20g
Oikos Pro Mixed Berry,1 container  (150 g),140,3g,8g,20g
Oikos Organic Nonfat Plain Greek Yogurt (5.3 oz),1 container (5.3 oz),80,0g,6g,15g
Oikos Pro Strawberry Banana,1 bottle (207 ml),140,1.5g,8g,23g
Oikos Protein Coconut Yogurt,1 container  (141 g),160,2.5g,18g,17g
Oikos Protein Crunch - Banana Yogurt with Cocoa Clusters & Chocolate,1 container  (141 g),160,1.5g,20g,17g
Oikos Remix,1 container (128 g),120,2g,16g,11g
Oikos Remix - S’Mores,1 container (128 g),120,2g,15g,11g
Oikos Traditional Greek Yogurt - Key Lime,1 container (150 g),140,4g,16g,11g
Oikos Traditional Greek Yogurt - Banana Cream,1 container  (150 g),160,4g,18g,11g
Oikos Traditional Greek Yogurt - Orange Cream,1 container (150 g),160,4.5g,19g,11g
Oikos Traditional Greek Yogurt - Apple Pie,1 container (150 g),170,4.5g,21g,11g
Oikos Traditional Greek Yogurt - Plain,1 cup (225 g),190,9g,9g,20g
Oikos Protein Crunch - Vanilla Yogurt with Blueberry Rolled Oats,1 container (141 g),150,0g,20g,17g
Oikos Remix - Salted Caramel,1 container (128 g),120,2g,16g,11g
Oikos Traditional Greek Yogurt - Strawberry,1 container (150 g),100,0g,13g,15g
Oikos Traditional Greek Yogurt - Raspberry,1 container (150 g),150,4g,18g,11g
Oikos Traditional Greek Yogurt - Toasted Coconut Vanilla,1 container (150 g),160,4g,19g,11g
Oikos Triple Zero - Banana Creme,1 container (150 g),90,0g,7g,15g
Oikos Protein Vanilla Yogurt with Chocolate Oats & Peanuts,1 container (141 g),160,2.5g,18g,17g
Oikos Triple Zero - Blueberry,1 container  (150 g),90,0g,8g,15g
Oikos Traditional Greek Yogurt - Lemon Meringue,1 container (150 g),160,4g,21g,11g
Oikos Traditional Greek Yogurt - Pumpkin Pie,1 container (150 g),170,4.5g,20g,11g
Oikos Triple Zero - Cherry,1 container (150 g),90,0g,7g,15g
Oikos Triple Zero - Mixed Berry,1 container (150 g),90,0g,7g,15g
Oikos Triple Zero - Mango,1 container (150 g),90,0g,10g,15g
Oikos Triple Zero - Lemon Tart,1 cup (150 g),90,0g,7g,15g
Oikos Triple Zero - Peach,1 container (150 g),90,0g,7g,15g
Oikos Triple Zero - Strawberry,1 container (150 g),90,0g,7g,15g
Oikos Triple Zero - Salted Caramel,1 container (150 g),90,0g,7g,15g
Oikos Triple Zero - Chocolate,1 container (150 g),100,0g,10g,15g
Oikos Triple Zero - Peanut Butter Banana,1 container (150 g),100,0g,10g,15g
Oikos Triple Zero - Orange Creme,1 container (150 g),100,0g,10g,15g
Oikos Triple Zero - Pineapple,1 container (150 g),100,0g,10g,15g
Oikos Triple Zero - Plain,1 cup (225 g),170,0g,23g,22g
Oikos Triple Zero - Coconut Creme,1 container  (150 g),90,0g,10g,15g
Oil,1 serving,31,4g,0g,0g
Oikos Triple Zero - Vanilla (Container),1 container (150 g),90,0g,7g,15g
Oikos Triple Zero - Vanilla (Cup),1 cup (225 g),140,3g,8g,20g
Oikos Triple Zero - Vanilla,3/4 cup (170 g),100,0g,8g,17g
Oikos Triple Zero - Coffee,1 container (150 g),100,0g,10g,15g
Oikos Yogurt Drink,1 serving (207 ml),140,1.5g,8g,23g
Oikos Triple Zero - Raspberry,1 cup (150 g),90,0g,7g,15g
Oil,1 serving (14 g),130,14g,0g,0g
Oil & Vinegar,1 serving (9 g),45,5g,0g,0g
Oil & Vinegar,1 serving,210,21g,5g,0g
Oil & Vinegar,1 serving,390,43g,0g,0g
Oil & Vinegar,1 serving,280,22g,5g,0g
Oil & Vinegar (2 oz),1 serving (2 oz),300,33g,0g,0g
Oil & Vinegar (3 oz),1 serving (3 oz),440,49g,0g,0g
Oil & Vinegar (Ez),1 serving,10,1g,0g,0g
Oil & Vinegar (Reg),1 serving,20,2.5g,0g,0g
Oil & Vinegar (Xtra),1 serving,40,5g,0g,0g
Oil & Vinegar 16-Inch French (Ez),1 serving,20,2.5g,0g,0g
Oil & Vinegar 16-Inch French (Reg),1 serving,40,5g,0g,0g
Oil & Vinegar,1 serving,250,28g,0g,0g
Oil & Vinegar 16-Inch French Freebies (Reg),1 serving,80,10g,0g,0g
Oil & Vinegar 16-Inch French Freebies  (Xtra),1 serving,170,19g,0g,0g
Oil & Vinegar 8-Inch French (Ez),1 serving,10,1g,0g,0g
Oil & Vinegar 8-Inch French (Reg),1 serving,20,2.5g,0g,0g
Oil & Vinegar 16-Inch French (Xtra),1 serving,80,10g,0g,0g
Oil & Red Wine Vinegar Dressing,2 tbsp (30 ml),150,17g,0g,0g
Oil & Vinegar 16-Inch French Freebies  (Ez),1 serving,40,5g,0g,0g
Oil,1 serving (5 g),45,5g,0g,0g
Oil & Vinegar 8-Inch French (Xtra),1 serving,40,5g,0g,0g
Oil & Vinegar 8-Inch French Freebies (Reg),1 serving,40,5g,0g,0g
Oil & Vinegar 8-Inch French Freebies (Xtra),1 serving,80,10g,0g,0g
Oil Cured Olives,6 olives (15 g),70,6g,3g,0g
Oil Free Hummus,2 tbsp (30 g),40,1g,6g,2g
Oil and Vinegar Dressing - Large Sub Add-on Toppings,1 serving,60,7g,0g,0g
Oil Browned Turkey Breast,2 oz (56 g),60,1g,0g,12g
Oil Cured Olives,4 olives (14 g),50,5g,5g,0g
Oil and Vinegar Dressing - Medium Sub Add-on Toppings,1 serving,40,4.5g,0g,0g
Oil and Vinegar Dressing - Small Sub Add-on Toppings,1 serving,20,2g,0g,0g
Oil 12-Inch,1 serving,200,21g,0g,0g
Oil and Vinegar (1 Tbsp),1 serving,60,7g,0g,0g
Oil & Vinegar 8-Inch French Freebies (Ez),1 serving,20,2.5g,0g,0g
O-Ke-Doke Cheese Flavored Popcorn,1 oz (28 g),150,10g,13g,2g
Oil Blend,1 tbsp (15 ml),130,14g,0g,0g
Oil 8-Inch,1 serving,130,14g,0g,0g
Oil 6-Inch,1 serving,100,10g,0g,0g
Oil 16-Inch,1 serving,260,28g,0g,0g
Ojai Lemon Sugar Cookie,1 serving (31 g),130,5g,21g,1g
Oil 4-Inch,1 serving,70,7g,0g,0g
Okra,3 oz (84 g),25,0g,6g,2g
Okinawa Sweet Potato Bar,1 bar (99 g),340,20g,37g,2g
Okra,1 cup  (127 g),25,0g,5g,1g
Okonomi Sauce,2 tbsp (36 g),60,0g,14g,2g
Okonomiyaki Flour,1/3 cup (40 g),140,1g,29g,3g
Okra (Large),1 serving (272 g),740,41g,84g,9g
Okra Chips Roasted Salted,1/4 cup (13 g),60,1g,6g,1g
Okra Chips Sea Salt,9 pieces (30 g),120,2.5g,23g,2g
Okra & Tomato Stew,1 serving (118 g),60,2.5g,7g,1g
Okra,1 (84 g),35,0g,7g,1g
Okra (Regular),1 serving (96 g),260,15g,30g,3g
Okra Pickles,2 pieces (28 g),5,0g,1g,0g
Oktoberfest,1 bottle (12 oz),180,0g,15g,0g
Oktoberfest,1 bottle (12 oz),170,0g,17.8g,0g
Okra,3/4 cup (85 g),20,0g,4g,1g
Okra Chips,1 cup (30 g),130,2.5g,22g,2g
Oktoberfest,1 bottle (12 oz),190,0g,15.4g,2g
Oktoberfest Bavarian Pretzel,1 serving,1471,82g,146g,35g
Okra Snax,10 pieces (28 g),120,2.5g,21g,2g
Okra,1 serving,320,20g,31g,4g
Oktoberfest Brat,1 link (113 g),270,21g,1g,19g
Ol West BBQ & Dippin Sauce,2 tbsp (38 g),50,0g,13g,0g
Olas Banana Bowl,1 serving,790,30g,128g,11g
Old & New Fashioned - Jack Daniel's Tennessee Honey Whiskey,1 serving,200,0g,23g,0g
Old Bay Sausage,2 oz (55 g),110,8g,0g,10g
Old Bay Seasoned Fries,3 oz (85 g),130,4g,22g,2g
Old Bay Buttered-Up Chicken,1 serving (562 g),680,40g,45g,37g
Old & New Fashioned - Maker's Mark,1 serving,260,0g,23g,0g
Old 43,1 serving,230,0g,22g,0g
Old Bay Classic Wings,1 serving (34 g),100,7g,0g,10g
Old #9,1 stick (28 g),70,5g,2g,4g
Old Cheddar Cheese,1 1/4 cube (30 g),120,11g,0g,7g
Old Cheddar Cheese,1 1/4cube (30 g),120,10g,1g,7g
Old Bay Seasoning 30% Less Sodium,1/4 tsp (0.6 g),0,0g,0g,0g
Old Bay Seasoning,1/4 tsp (1 g),0,0g,0g,0g
Old Bay Seasoned Virginia Peanuts,1/4 cup (1 oz),170,13g,6g,7g
Old Bay Boneless Tenders,1 serving (63 g),170,11g,10g,10g
Old Bay Wings,1 container (16 oz),310,19g,2g,31g
Old Bay Boneless Wings,1 serving (29 g),100,6g,6g,4g
Oktoberfest Snack Mix,1 serving (1 oz),120,4g,18g,3g
Old Country Style Muesli,1/4 cup (35 g),140,3g,23g,4g
Old Cheddar Light Cheese,1 1/4 cube (30 g),90,6g,0g,8g
Old Chicago Chopped Salad (1 salad),1 serving,650,46g,28g,32g
Old Farmhouse Chutney,1 tbsp (15 g),35,0g,8g,0g
Old Fashion Bread,1 slice (26 g),70,1g,14g,2g
Old Fashion Enriched Milk Bread,1 slice (28 g),80,0.5g,15g,3g
Old Country Sourdough Bread,1 slice (46 g),120,0g,27g,3g
Old English Cheese Spread,2 tbsp (32 g),90,8g,0g,5g
Old Elephant IPA - 12oz,1 serving (12 oz),180,0g,17g,3g
Old Elephant IPA - 16oz,1 serving (16 oz),230,0g,22g,4g
Old Fashion Chocolate 2% Reduced Fat Milk,1 serving (240 ml),220,5g,33g,11g
Old Fashion Marshmallow Hot Drinking Chocolate,3 tbsp (43 g),235,14g,22g,3g
Old Fashion Hash Brown Potato Patties,1 patty (60 g),130,8g,17g,1g
Old Fashion Loaf,1 serving (2 ml),190,16g,3g,7g
Old Fashion Loaf,1 slice (28 g),70,6g,1g,3g
Old Fashion Cake Donuts,1 donut (57 g),220,12g,27g,2g
Old Cheddar Cheese,3cm cube (30 g),120,10g,0g,7g
Old Fashion Franks,1 serving (78 g),220,17g,5g,11g
Old Cheddar Sticks,1 stick (21 g),80,7g,1g,5g
Old Fashion Farmer Cheese,1/2 cup (4 oz),200,14g,5g,13g
Old Fashioned (Small),1 sub,610,18g,75g,38g
Old Fashioned,1 serving,220,0g,18g,0g
Old Fashion Wieners,1 link (73 g),240,22g,2g,9g
Old Fashioned,1 serving,250,0g,9g,0g
Old Fashioned,1 serving,190,0g,7g,0g
Old Fashioned Apricot Jam,1 tbsp (20 g),45,0g,12g,0g
Old Fashioned Beef Frankfurters,2 oz (56 g),200,17g,1g,10g
Old Fashioned All Natural Vanilla Ice Cream,1/2 cup (71 g),150,8g,17g,3g
Old Fashioned Applesauce,4 oz (113 g),80,0g,20g,0g
Old Fashioned Beef Jerky,1 oz (28 g),80,1.5g,7g,10g
Old Fashioned Beef Jerky,1 oz (28 g),80,1.5g,7g,10g
Old Fashioned Beef Jerky,1 oz (28 g),80,1g,7g,11g
Old Fashioned Blister Peanuts Unsalted,1/4 cup (30 g),180,16g,5g,8g
Old Fashioned Bread,1 slice  (26 g),70,1g,13g,2g
Old Fashioned Beef Jerky,1 oz (30 g),70,0g,6g,11g
Old Fashioned Blister Peanuts,1/4 cup (30 g),170,15g,5g,7g
Old Fashioned Beef Jerky - Original,1 oz (28 g),90,2.5g,0g,16g
Pad Thai Sauce,1 tbsp (15 g),10,0g,2g,0g
Pad Thai Stir Fry Kit,1 1/2 cups (110 g),80,1g,15g,2g
Pad Thai Shrimp - Gluten-Free,1 serving,590,15g,92g,22g
Pad Thai with Tofu,1 package (283 g),300,8g,47g,11g
Pad Thai Sauce,1/2 cup (118 ml),280,9g,46g,3g
Pad Thai with Chicken & Shrimp,1 cup,290,3g,33g,9g
Pad Thai with Tofu,1 package (350 g),340,14g,46g,9g
Pad Thai with Chicken,1 bowl (276 g),390,12g,67g,14g
Pad Thai with Tofu,1 bowl (269 g),370,9g,62g,11g
Pad Thai Stir Fry Kit,1 serving (206 g),336,6g,50g,4g
Pad Thai with Konjac Noodles,1 container (284 g),260,7g,36g,13g
Pad Woon Sen,1 package (269 g),280,5g,57g,3g
Paella,1/2 tray (340 g),410,14g,54g,16g
Pad Thai Stir Fry Rice Noodles,1/2 package (3 oz),250,1g,56g,4g
Paella,1/2 bag,330,4.5g,43g,29g
Paella Rice Mix,3 tbsp dry (1 cup prepared) (38 g),140,1g,29g,3g
Paella Bowl,1 bowl (241 g),280,12g,35g,8g
Padres Donut,1 serving,270,12g,36g,4g
Pad Thai Stir Fry Sauce,2 tbsp (30 ml),70,1.5g,13g,1g
Pad Thai Simmer Sauce,1/2 pack (3.5 oz),200,10g,28g,4g
Pagnatta Bread,1 slice (47 g),140,1g,27g,5g
Page Mandarin,1 cup (140 g),60,0g,12g,0g
Pain Au Chocolat,1 bread (111 g),230,13g,24g,3g
Pagoda Rice,1 serving (115 g),150,6g,21g,3g
Pain Au Lait,1 roll (35 g),130,4.5g,19g,3g
Pain Au Levain,1 serving (2 oz),120,0.5g,25g,4g
Paesano Bread,1 slice,100,0g,21g,3g
Paella Valenciana,1 cup (3 oz),330,11g,47g,10g
Pain Au Lait Rolls,1 roll (37 g),110,2.5g,19g,3g
Pain du George,1 slice (56 g),120,0.5g,25g,4g
Pain Au Lait,1 roll (125 g),399,13g,60g,11g
Pain Perdu with Mixed Berries with Eggs Any Style,1 serving,1315,50g,171g,47g
Pain Perdu with Mixed Berries with Protein Choice Corned Beef Brisket Hash,1 serving,1432,55g,189g,48g
Pain Au Lait Chocolate Chip,1 roll (35 g),160,7g,18g,3g
Pain Perdu with Mixed Berries with Protein Choice Hickory Smoked Bacon,1 serving,1352,56g,170g,44g
Pain Perdu with Mixed Berries with Protein Choice Hickory Smoked Ham,1 serving,1272,42g,172g,52g
Pain Perdu with Mixed Berries,1 serving,1152,38g,170g,34g
Pain Perdu with Mixed Berries with Protein Choice Pork Sausage,1 serving,1520,71g,171g,50g
Pain De Campagne Bread,1 slice (2 oz),120,0g,24g,4g
Pain Perdu with Mixed Berries with Protein Choice Turkey Sausage,1 serving,1286,45g,172g,51g
Pains au Chocolate,1 piece (45 g),190,10g,22g,3g
Pains Au Chocolat,1 package (45 g),180,9g,21g,3g
Painkiller,1 serving,290,4.5g,32g,1g
Pakoras,1 pakora,30,1g,4g,1g
Palak Daal,1 tray (281 g),290,7g,41g,14g
Pain Rustique Country Style French Bread,1/8 loaf (2 oz),170,2g,32g,5g
Pak O Snax,1/4 cup (37 g),160,9g,21g,4g
Paint It Milk Chocolate Popcorn,3/4 cup (30 g),140,7g,20g,1g
Pairing Boards Havarti,1 box,330,25g,11g,16g
Palabok Fiesta,12.3 oz (351 g),410,15g,49g,20g
Pajeon (Mushroom & Shrimp Pancakes),1 pancake,319,8.9g,47.5g,15.4g
Pakistani Nihari,1 serving,362,14g,13g,46g
Palak Paneer,5 oz (142 g),240,18g,8g,10g
Palak Paneer,1/3 package (100 g),166,13.18g,6.41g,5.49g
Palak Paneer,1/2 package (142 g),210,16g,9g,10g
Palak Paneer,1 serving (100 g),143,11g,5g,6g
Palak Paneer,1 container (283 g),400,21g,50g,17g
Pairing Boards Extra Sharp Yellow,1 box (70.8 g),310,23g,14g,13g
Pain Rustique,1 slice (57 g),140,1.5g,28g,4g
Palak Paneer,1 tray (283 g),450,24g,42g,18g
Palak Paneer,1 serving (100 g),110,10g,4g,3g
Palak Paneer,1/2 cup (125 g),170,12g,9g,6g
Palak Paneer,1 package (311 g),350,14g,43g,15g
Palak Paneer,1/2 pack (150 g),180,13g,9g,6g
Palak Paneer,1/2 package (150 g),150,10g,9g,6g
Palak Paneer,1/2 packet (5 oz),170,14g,6g,6g
Pale Ale,1 bottle (12 oz),155,0g,3.1g,0.7g
Pale Ale,1 bottle (12 oz),175,0g,16.9g,1.7g
Pale Ale,1 bottle (12 oz),163,0g,14g,0g
Palak Paneer Samosa,2 pieces (54 g),176,12g,15g,2g
Pale Ale,1 bottle (12 oz),160,0g,13.2g,1.2g
Pale Ale,1 bottle (16 oz),175,0g,15g,2g
Pale Ale,1 can (12 oz),138,0g,14g,0g
Palak Paneer,1/2 pack (150 g),300,27g,8g,7g
Pale Ale,1 bottle (12 oz),179,0g,0g,0g
Pale Ale & Honey Spice Mustard,1 tsp (5 g),5,0g,0g,0g
Pale Ale,1 serving (12 oz),165,0g,15g,3g
Paleo Oatmeal with Peaches and Flax,1 serving,298,9g,40g,17g
Pale Pilsen,1 bottle (330 ml),140,0g,9g,0g
Palenque Bowl (Beef),1 bowl (524 g),630,27g,61g,35g
Paleo Baking Flour,1/4 cup (23 g),110,4g,13g,4g
Paleo Asian Meatballs,1 serving,107,7.2g,3g,8g
Paleo Bars,1 bar (28 g),170,14g,10g,4g
Paleo Asian Chicken Cabbage Salad,1 serving,256,10.5g,12g,29g
Paleo Asian Taco Meal Prep Bowls,1 serving,364,24.6g,14g,24g
Paleo Bacon Wrapped Green Bean Bundles,1 bundle,72,4g,2g,4g
Paleo Bread - Almond,1 slice (43 g),60,3g,6g,7g
Paleo Braised Pork,1 meal (283 g),280,8g,30g,24g
Paleo Bars,1 bar (28 g),170,14g,10g,4g
Paleo Beef Stroganoff,1 cup (190 g),230,10g,20g,16g
Paleo Beef Brisket Pho,1 serving,348,7.1g,34g,42g
Paleo Bread - Coconut,1 slice (43 g),35,1g,6g,5g
Paleo Burger,1 burger (395 g),680,46g,14g,51g
Paleo Bowl,1 bowl,420,28g,23g,24g
Paleo Broccolini Salad with Creamy Ginger Mustard Dressing,1 serving,119,4g,1g,9g
Paleo Broccoli Fried Rice,1 serving,87,5g,7g,2g
Paleo Cashew Chicken,1 serving,294,9g,11g,39g
Paleo Bread - Cinnamon Raisin,1 slice (43 g),50,1.5g,8g,7g
Paleo Bites,6 bites (42 g),250,20g,15g,6g
Paleo Beef with Broccoli,1 serving,273,17g,3g,24g
Paleo Chicken Salad,1 salad (369 g),330,20g,18g,27g
Paleo Chicken Piccata,5 oz (140 g),170,7g,3g,23g
Paleo Chicken Katsu,1 serving,404,23.3g,18g,32g
Paleo Chicken Stir-Fry,1 serving,180,3g,9g,26g
Paleo Coconola Coconut Granola,1/4 cup (27 g),150,12g,8g,4g
Paleo Chinese Eggplant in Garlic Sauce,1 serving (100 g),216,15g,11g,8g
Paleo Chinese Shrimp Tomato Stir-Fry,1 serving,379,26g,11g,24g
Paleo Chicken Thigh Steak Collard Green Wraps,1 serving,467,30g,2g,33g
Paleo Chicken Breakfast Links,3 links (65 g),130,8g,1g,12g
Paleo Chinese Spicy Pepper Pork Lettuce Wraps,1 serving,180,6.2g,5g,26g
Paleo Chicken Yakitori Skewers,1 skewer,99,6g,1g,11g
Paleo Dark Chocolate Brownie,1 brownie (12 g),60,3.5g,6g,2g
Paleo Fish Tacos,1 serving,134,4g,8g,14g
Paleo Cold Ramen Noodles,1 serving,324,14.8g,8g,38g
Paleo Dan Dan Noodles,1 serving,433,37.1g,9g,18g
Paleo Filipino Skirt Steak Cauliflower Fried Rice,1 serving,341,17.5g,8g,39g
Paleo Crispy Sesame Beef,1 serving,442,21.9g,26g,34g
Paleo Egg Rolls with Coconut Wraps,1 egg roll,101,6g,7g,4g
Paleo Cauliflower Pizza Crust,1/3 pizza (57 g),170,10g,17g,4g
Paleo Chocolate Chunk Cookie,1 cookie (47 g),219,19g,18g,7g
Paleo Halibut Lemon Piccata Asparagus Salad,1 serving,459,38g,6g,26g
Paleo Friendly Chicken Breast,1 breast (3 oz),110,3g,0g,16g
Paleo Friendly Grilled Salmon,3 oz (3 oz),130,5g,0g,20g
Paleo Green Buddha Bowls,1 serving,93,4.9g,10g,4g
Paleo Hunan Beef Stir-Fry,1 serving,327,22g,6g,25g
Paleo Lamb Cassoulet,1 heaping cup,319,20.29g,5.97g,23.55g
Paleo Kung Pao Chicken,5 oz (140 g),160,4.5g,5g,23g
Paleo Kimchi Beef Stir-Fry,1 serving,249,15g,2g,26g
Paleo Kung Pao Chicken,1 serving,221,5g,6g,37g
Paleo Instant Pot Butter Chicken,1 serving,363,22g,3g,35g
Paleo Kofta Kebabs,1 serving,198,16g,3g,9g
Paleo Korean BBQ-Style Beef,5 oz (140 g),150,4g,7g,20g
Paleo Macaroon,1 macaroon (16 g),45,3.5g,9g,1g
Paleo Mix Granola,1/3 cup (30 g),180,15g,7g,5g
Paleo Muesli,1/2 cup (60 g),380,29g,15g,13g
Paleo Ginger Beef,5oz (140 g),170,3.5g,14g,20g
Paleo Mongolian Beef,1 serving,543,32g,5g,50g
